Vehicle_Age_Years,Odometer_Reading_km,Ambient_Temperature_C,Engine_Temp_C,Engine_RPM,Oil_Pressure_psi,Coolant_Level_pct,Battery_Voltage_V,Mass_Airflow_Rate_gs,Throttle_Position_pct,Brake_Pad_Wear_pct,Tire_Pressure_psi,Vibration_Level_mm_s,Fuel_Consumption_L_100km,km_per_year,temp_difference,Brand_Hyundai,Brand_Mahindra,Brand_Maruti Suzuki,Brand_Tata,Model_Baleno,Model_City,Model_Creta,Model_Dzire,Model_Harrier,Model_Nexon,Model_Scorpio,Model_Swift,Model_Thar,Model_Tiago,Model_Venue,Model_Wagon R,Model_XUV300,Model_i10
1,8814,44.5,89.4,2382.0,27.5,93.0,14.0,6.5,43.4,35.0,32.4,3.8,5.7,4407.0,44.900000000000006,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5,56710,33.5,97.8,1356.0,31.2,82.3,14.0,14.0,40.9,98.6,33.1,3.5,6.1,9451.666666666666,64.3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
9,104606,26.4,97.6,2115.0,34.3,73.1,13.5,7.7,48.4,69.1,31.6,2.9,9.5,10460.6,71.19999999999999,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,152502,37.2,90.2,1424.0,18.7,90.4,14.4,14.9,55.1,93.9,35.0,3.6,9.1,10893.0,53.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,32762,23.1,88.9,2317.0,49.3,92.5,13.5,14.6,38.2,70.2,34.7,2.0,10.1,8190.5,65.80000000000001,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3,32762,13.6,93.2,2497.0,25.3,86.7,13.8,8.6,39.8,67.0,31.8,0.7,11.2,8190.5,79.60000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,128554,36.0,100.5,2469.0,57.4,93.9,13.0,9.8,52.6,19.4,32.5,2.2,9.5,10712.833333333334,64.5,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,68684,11.3,102.0,2342.0,42.1,99.8,13.7,20.9,22.1,39.0,31.3,2.4,10.3,9812.0,90.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,32762,20.8,116.19999999999999,1551.0,39.3,75.4,13.2,9.5,42.8,83.6,31.3,3.4,10.0,8190.5,95.39999999999999,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,92632,33.3,104.4,1029.0,50.5,88.3,14.4,10.9,22.5,22.1,34.7,1.9,7.8,10292.444444444445,71.10000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,8814,10.9,99.7,1287.2778724778914,58.6,78.5,12.6,8.0,34.9,47.8,33.4,3.4,7.6,4407.0,88.8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
12,140528,33.0,95.4,747.6042611550284,40.1,88.9,14.3,13.2,23.8,57.8,34.8,2.1,5.0,10809.846153846154,62.400000000000006,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4,44736,31.5,102.7,2286.0,67.0,78.0,13.2,9.5,47.3,73.9,32.5,0.6,7.5,8947.2,71.2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,20788,33.1,103.6,1356.6187755591948,39.5,97.1,13.5,5.7,52.3,68.7,34.3,1.5,10.7,6929.333333333333,70.5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10,116580,21.4,94.2,1124.0,45.6,83.3,12.4,15.0,24.6,81.4,28.749999999999996,1.2,11.7,10598.181818181818,72.80000000000001,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,92632,34.3,104.4,2177.0,61.9,72.8,14.2,20.9,31.3,35.0,34.1,0.8,5.4,10292.444444444445,70.10000000000001,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,152502,38.9,103.4,1974.0,58.9,90.6,12.9,12.1,19.2,83.1,32.7,2.5,7.6,10893.0,64.5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,44736,13.6,90.7,2142.0,57.0,96.8,14.3,13.4,37.3,36.4,28.749999999999996,1.6,12.0,8947.2,77.10000000000001,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,8814,25.2,95.3,1498.0,29.9,96.8,14.4,4.1,57.9,33.4,32.4,3.5,11.7,4407.0,70.1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
13,152502,16.5,99.4,1998.0,61.8,85.3,13.2,5.6,58.2,30.9,31.9,3.1,8.9,10893.0,82.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,56710,35.9,90.9,1079.3520945492155,50.8,80.3,13.4,3.4,44.7,89.9,31.2,1.1,10.9,9451.666666666666,55.00000000000001,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,152502,38.8,102.0,1700.5313337258726,38.4,81.7,12.5,12.2,40.8,94.4,33.7,1.6,9.7,10893.0,63.2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7,80658,12.5,97.8,2205.0,34.7,92.8,13.5,12.2,36.6,11.0,31.2,2.2,11.2,10082.25,85.3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,8814,43.0,114.8,1424.0,55.2,81.5,13.0,5.4,24.3,67.2,34.6,2.2,11.9,4407.0,71.8,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
13,152502,22.1,102.5,1554.0,25.1,82.5,14.2,3.5,30.0,72.7,34.1,3.5,9.2,10893.0,80.4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,152502,43.8,100.2,2315.0,63.8,83.1,14.2,20.4,49.4,72.2,33.2,2.4,5.5,10893.0,56.400000000000006,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,140528,16.6,100.0,1317.0,53.3,98.4,13.2,10.8,31.6,30.9,33.0,4.0,6.5,10809.846153846154,83.4,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4,44736,41.5,113.9,1530.0,66.8,90.5,13.4,13.1,33.0,94.9,32.6,0.6,9.0,8947.2,72.4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7,80658,37.0,94.4,1959.0,27.4,73.7,14.2,7.1,20.6,35.3,33.4,2.9,11.2,10082.25,57.400000000000006,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,56710,24.3,98.0,1669.1406404588577,52.3,81.8,13.1,10.9,24.2,53.0,31.1,2.2,9.7,9451.666666666666,73.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,32762,20.0,92.7,1810.0,45.7,80.7,13.5,5.8,44.2,53.3,31.0,2.9,7.6,8190.5,72.7,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,56710,17.9,104.9,1645.0,48.0,85.2,11.7,8.8,53.9,33.1,33.0,2.7,10.8,9451.666666666666,87.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
6,68684,15.1,99.0,1989.0,30.6,87.7,13.3,10.1,21.7,74.7,31.4,1.0,11.7,9812.0,83.9,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
8,92632,25.6,102.8,1841.0,18.6,83.2,14.3,14.6,15.7,96.2,34.3,3.4,8.3,10292.444444444445,77.19999999999999,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7,80658,26.3,102.5,910.0,33.9,77.9,13.3,20.9,56.8,95.6,32.4,2.3,11.5,10082.25,76.2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,68684,11.2,105.8,2119.0,20.8,72.8,14.0,12.5,36.7,60.4,32.6,3.4,6.6,9812.0,94.6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,20788,44.3,95.1,747.0,60.4,98.6,11.8,11.2,20.6,38.1,31.5,2.8,6.4,6929.333333333333,50.8,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,68684,18.2,93.9,1573.0,59.6,74.5,13.4,4.1,21.5,66.6,28.749999999999996,2.0,8.7,9812.0,75.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7,80658,10.9,99.5,3477.5,55.0,74.1,14.3,12.3,45.2,30.3,32.3,2.8,6.3,10082.25,88.6,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8,92632,40.3,103.2,766.0,49.1,76.1,13.3,6.8,52.0,47.4,32.8,0.6,6.8,10292.444444444445,62.900000000000006,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
12,140528,14.0,88.3,1986.0,30.5,100.0,11.7,5.5,19.6,80.4,33.1,3.6,10.5,10809.846153846154,74.3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,8814,44.7,116.19999999999999,1212.0,32.2,87.2,14.4,12.8,18.6,63.9,32.4,1.5,11.5,4407.0,71.49999999999999,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,32762,27.6,88.7,1413.0,30.9,83.8,13.1,3.1,41.0,44.7,28.749999999999996,4.0,5.3,8190.5,61.1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11,128554,31.6,92.3,2959.0,42.5,71.3,14.2,8.5,47.0,84.2,31.4,3.8,9.8,10712.833333333334,60.699999999999996,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,32762,16.6,96.2,1737.0,24.8,93.5,13.5,14.0,40.7,83.0,31.3,0.8,8.2,8190.5,79.6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
14,164476,18.8,97.6,2575.0,42.8,98.0,13.9,14.2,18.1,50.7,32.1,2.6,5.8,10965.066666666668,78.8,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,152502,38.7,91.1,745.7654973269339,44.1,95.2,12.6,11.5,18.0,60.8,31.1,3.9,5.2,10893.0,52.39999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
5,56710,10.5,101.5,1785.0,27.4,82.7,13.1,10.4,32.1,88.0,32.0,0.6,7.8,9451.666666666666,91.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,152502,10.8,105.6,895.0,40.6,92.0,14.0,9.7,26.7,78.3,32.8,2.9,11.1,10893.0,94.8,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,80658,38.9,88.0,1027.603146118136,62.4,85.6,13.6,6.2,17.0,51.8,34.2,2.5,7.0,10082.25,49.1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9,104606,22.2,91.0,1524.0,46.1,94.6,12.9,5.9,41.6,12.5,31.3,2.6,9.8,10460.6,68.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
12,140528,31.6,102.8,2178.0,46.0,80.8,13.1,18.8,41.4,57.7,31.1,0.9,8.7,10809.846153846154,71.19999999999999,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,104606,34.0,93.7,2297.0,67.9,98.3,12.7,3.9,31.3,80.4,28.749999999999996,1.0,10.6,10460.6,59.7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,152502,21.6,93.0,984.0,62.5,92.6,13.0,11.9,48.1,45.3,34.3,3.7,11.5,10893.0,71.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,152502,41.3,100.8,897.0,57.1,87.7,12.9,3.2,21.2,11.0,33.6,3.6,7.1,10893.0,59.5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,44736,38.0,98.7,2480.0,32.9,83.9,12.8,7.0,38.3,88.2,34.4,3.5,7.4,8947.2,60.7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5,56710,25.4,105.1,728.372392947597,41.3,92.7,13.5,11.7,43.6,58.6,34.2,0.7,10.4,9451.666666666666,79.69999999999999,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,20788,35.5,97.4,986.4466775708604,49.6,99.5,13.0,6.8,46.1,65.4,32.8,2.1,10.3,6929.333333333333,61.900000000000006,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,80658,23.4,94.7,1332.0,47.7,87.3,14.2,6.6,23.1,96.8,34.1,3.0,9.8,10082.25,71.30000000000001,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,44736,20.8,88.8,729.0,54.2,90.1,14.2,10.8,40.4,50.7,28.749999999999996,2.6,5.6,8947.2,68.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,8814,24.8,93.6,2081.0,38.5,74.0,13.4,3.5,21.8,99.6,28.749999999999996,1.5,10.3,4407.0,68.8,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,20788,27.8,92.2,2069.0,39.6,77.0,13.6,11.6,29.6,92.8,32.1,3.9,5.5,6929.333333333333,64.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,20788,20.5,109.1,869.0,30.1,95.3,13.1,13.2,53.5,49.7,33.5,0.7,11.2,6929.333333333333,88.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,152502,39.6,103.7,2041.0,37.3,88.7,13.9,6.2,35.3,24.6,31.5,1.7,6.9,10893.0,64.1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
11,128554,36.6,107.9,1024.0,54.2,71.3,12.5,4.5,38.0,95.6,32.9,0.6,10.3,10712.833333333334,71.30000000000001,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,20788,43.4,102.3,1254.0,33.2,85.1,14.2,9.3,42.2,41.5,33.4,1.4,8.3,6929.333333333333,58.9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9,104606,29.1,88.2,2152.0,37.8,82.9,13.7,8.4,44.9,87.6,34.9,1.9,11.8,10460.6,59.1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
14,164476,32.2,92.7,1942.0,39.9,83.8,13.0,3.6,30.6,6.7,34.8,1.6,7.9,10965.066666666668,60.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,8814,19.1,114.1,1687.0,60.5,93.4,13.9,13.9,52.2,98.0,34.3,3.0,7.2,4407.0,95.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3,32762,28.8,95.7,1310.0,56.0,98.8,14.5,11.0,25.4,16.0,33.3,3.5,8.2,8190.5,66.9,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4,44736,31.6,95.6,967.0,60.3,88.1,13.1,10.3,55.3,85.8,28.749999999999996,3.2,6.7,8947.2,63.99999999999999,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11,128554,22.3,93.2,2210.0,54.7,83.4,12.7,9.6,24.8,64.3,28.749999999999996,0.5,10.8,10712.833333333334,70.9,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
13,152502,39.5,98.7,2334.0,41.6,81.0,13.2,10.6,58.2,73.5,28.749999999999996,3.2,6.1,10893.0,59.2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
13,152502,32.6,97.1,2297.0,37.6,79.4,11.8,7.4,35.8,34.5,34.9,2.7,8.9,10893.0,64.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8,92632,36.1,88.1,1073.0,65.1,79.9,13.5,4.1,17.7,37.1,32.5,2.4,5.0,10292.444444444445,51.99999999999999,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,44736,31.0,98.8,1983.0,56.7,91.3,13.1,11.0,50.6,94.2,34.3,2.6,8.6,8947.2,67.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,116580,13.0,97.3,1567.522030759896,38.8,97.4,14.1,5.0,23.5,83.7,32.6,3.1,9.3,10598.181818181818,84.3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,116580,27.7,113.1,2241.0,47.3,82.3,14.3,5.3,19.5,48.7,32.7,2.4,5.1,10598.181818181818,85.39999999999999,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6,68684,30.5,101.1,1866.466193867494,28.4,90.5,12.6,10.2,33.6,57.8,34.7,0.6,10.3,9812.0,70.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
6,68684,20.5,100.0,1648.0,53.8,99.5,14.2,10.7,38.3,9.4,32.8,2.9,8.4,9812.0,79.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,32762,27.3,92.6,2301.0,49.1,76.8,13.9,11.8,17.7,91.1,31.1,3.0,7.2,8190.5,65.3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,8814,11.3,89.4,1534.0,66.6,71.5,14.3,14.1,28.4,84.2,32.5,0.7,5.3,4407.0,78.10000000000001,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
5,56710,13.0,101.2,2055.0,44.2,94.6,13.6,18.8,45.3,73.3,31.3,1.1,8.1,9451.666666666666,88.2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,8814,13.4,98.3,911.0,41.3,79.5,13.6,13.6,50.5,60.2,34.9,2.0,11.0,4407.0,84.89999999999999,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,152502,24.0,92.5,1838.0,52.4,85.1,14.5,9.3,19.9,68.9,31.3,2.5,6.4,10893.0,68.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6,68684,25.5,89.4,2427.0,57.4,74.7,14.4,20.2,36.2,89.1,34.2,2.2,8.0,9812.0,63.900000000000006,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
13,152502,10.7,106.0,1484.6480950521193,32.5,92.0,14.3,7.6,33.1,33.8,33.1,0.6,5.1,10893.0,95.3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,68684,41.0,101.6,1631.0,48.3,96.5,13.9,13.2,29.8,54.9,31.5,2.0,7.8,9812.0,60.599999999999994,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6,68684,22.8,100.4,1400.0,59.0,87.5,13.9,20.9,48.4,41.8,34.9,3.2,7.8,9812.0,77.60000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,32762,24.2,95.9,1382.0,36.2,86.5,12.1,13.5,59.6,82.5,33.1,1.5,6.4,8190.5,71.7,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8,92632,38.3,99.8,1137.0,37.4,74.1,13.3,13.5,36.6,50.9,33.3,1.2,8.2,10292.444444444445,61.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
12,140528,29.0,103.1,2429.0,55.4,85.1,11.8,9.3,55.2,63.8,34.2,1.6,8.2,10809.846153846154,74.1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,152502,23.3,90.4,1831.3238031697877,29.1,81.9,12.6,3.4,15.2,76.0,33.3,3.2,7.5,10893.0,67.10000000000001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,152502,17.1,88.4,1971.0,41.2,79.4,14.4,8.7,48.3,13.5,31.1,2.2,7.2,10893.0,71.30000000000001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,32762,43.5,102.1,1137.6088895667326,28.8,74.6,14.1,8.2,48.8,32.9,32.8,1.1,6.5,8190.5,58.599999999999994,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5,56710,26.6,116.19999999999999,1974.0,55.7,70.2,13.3,3.9,31.3,81.1,31.9,2.6,5.5,9451.666666666666,89.6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5,56710,39.5,95.1,1020.0,55.5,93.5,11.8,14.6,41.5,40.6,32.6,0.7,6.0,9451.666666666666,55.599999999999994,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
10,116580,13.2,98.5,1073.0334603761123,49.9,93.5,14.3,7.1,21.5,47.2,32.3,2.7,5.6,10598.181818181818,85.3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,44736,23.8,94.7,1195.892896471487,32.4,88.6,13.5,3.7,49.9,67.1,31.4,3.6,5.8,8947.2,70.9,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12,140528,28.2,90.2,2181.0,54.0,90.0,13.1,8.7,39.7,36.4,31.7,1.6,10.6,10809.846153846154,62.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8,92632,38.9,115.4,1106.0,65.6,91.0,13.3,7.8,31.2,84.3,33.6,3.1,9.9,10292.444444444445,76.5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,92632,12.1,99.1,1767.0,31.8,73.6,12.8,20.7,33.4,44.2,34.8,2.8,5.1,10292.444444444445,87.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,44736,10.9,105.6,1106.0,55.0,93.4,13.2,5.8,18.0,43.9,28.749999999999996,1.9,6.0,8947.2,94.69999999999999,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
13,152502,35.3,114.1,1829.0,37.3,72.8,12.6,15.0,49.8,59.5,31.7,3.5,6.2,10893.0,78.8,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,68684,29.4,116.19999999999999,2079.0,60.4,93.2,12.5,5.4,52.6,31.8,34.0,3.0,5.8,9812.0,86.79999999999998,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
13,152502,32.2,92.2,1081.0997798961846,64.5,74.2,13.9,7.0,59.2,53.0,32.4,0.7,5.2,10893.0,60.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,20788,17.4,88.2,3413.0,42.2,82.7,14.4,14.0,52.4,74.0,32.5,1.4,8.5,6929.333333333333,70.80000000000001,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,32762,15.6,92.6,799.0,57.3,92.1,12.4,18.3,16.8,47.6,34.1,1.7,9.4,8190.5,77.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,140528,34.2,94.6,1762.0,38.4,82.6,14.4,17.4,31.8,89.3,31.1,0.6,7.4,10809.846153846154,60.39999999999999,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8,92632,29.4,95.3,2198.0,62.3,75.7,14.4,6.5,59.4,57.8,31.4,0.7,10.8,10292.444444444445,65.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,80658,22.5,91.7,1627.0,35.0,85.1,12.6,9.3,25.9,93.3,32.4,2.9,8.4,10082.25,69.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,92632,34.8,95.1,1005.0,55.1,93.7,14.4,13.0,43.9,81.6,32.1,3.4,6.1,10292.444444444445,60.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
14,164476,33.5,98.2,2031.0,60.1,91.1,11.7,14.5,54.0,95.1,33.1,3.0,7.3,10965.066666666668,64.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,8814,33.9,91.0,1309.0,34.5,76.2,14.5,5.5,28.1,75.2,31.5,2.2,9.9,4407.0,57.1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,80658,41.9,99.3,2786.0,39.5,85.1,13.3,9.3,32.6,95.1,33.6,0.9,10.8,10082.25,57.4,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10,116580,41.3,94.4,2135.0,37.8,72.0,14.1,7.4,44.0,30.9,32.7,0.7,7.4,10598.181818181818,53.10000000000001,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
