Vehicle_ID,Brand,Model,Vehicle_Age_Years,Odometer_Reading_km,Ambient_Temperature_C,Engine_Temp_C,Engine_RPM,Oil_Pressure_psi,Coolant_Level_pct,Battery_Voltage_V,Mass_Airflow_Rate_gs,Throttle_Position_pct,Brake_Pad_Wear_pct,Tire_Pressure_psi,Vibration_Level_mm_s,Fuel_Consumption_L_100km,Fault_Status,Faulty_Unit,Fault_Type,Fault_Severity
DL8CAU9922,Mahindra,Thar,2,20788,33.1,103.6,1356.6187755591948,39.5,97.1,13.5,5.7,52.3,68.7,34.3,1.5,10.7,1,Fuel System,Fuel Injector Clog,4
DL6CPE3625,Tata,Harrier,10,116580,21.4,94.2,1124.0,45.6,83.3,12.4,15.0,24.6,81.4,26.6,1.2,11.7,1,Tires,Low Tire Pressure,2
DL2CBM2285,Tata,Nexon,8,92632,34.3,104.4,2177.0,61.9,72.8,14.2,21.0,31.3,35.0,34.1,0.8,5.4,1,Sensors,MAF Sensor Failure,5
DL7CBS5394,Tata,Nexon,13,152502,38.9,103.4,1974.0,58.9,90.6,12.9,12.1,19.2,83.1,32.7,2.5,7.6,0,No Fault,No Fault,0
DL12CBA1452,Maruti Suzuki,Baleno,4,44736,13.6,90.7,2142.0,57.0,96.8,14.3,13.4,37.3,36.4,23.5,1.6,12.0,1,Tires,Low Tire Pressure,1
DL4CVB8300,Honda,City,1,8814,25.2,95.3,1498.0,29.9,96.8,14.4,4.1,57.9,33.4,32.4,3.5,11.7,0,No Fault,No Fault,0
DL6CAT3818,Hyundai,i10,13,152502,16.5,99.4,1998.0,61.8,85.3,13.2,5.6,58.2,30.9,31.9,3.1,8.9,1,Transmission,Transmission Slip,8
DL1CJM5759,Maruti Suzuki,Baleno,5,56710,35.9,90.9,1079.3520945492157,50.8,80.3,13.4,3.4,44.7,89.9,31.2,1.1,10.9,1,Fuel System,Fuel Injector Clog,6
DL6CHX8197,Maruti Suzuki,Swift,13,152502,38.8,102.0,1700.5313337258726,38.4,81.7,12.5,12.2,40.8,94.4,33.7,1.6,9.7,1,Fuel System,Fuel Injector Clog,5
DL2CZD8961,Mahindra,Thar,7,80658,12.5,97.8,2205.0,34.7,92.8,13.5,12.2,36.6,11.0,31.2,2.2,11.2,1,Brake System,Worn Brakes,4
DL5CIL9730,Maruti Suzuki,Dzire,1,8814,43.0,114.8,1424.0,55.2,81.5,13.0,5.4,24.3,67.2,34.6,2.2,11.9,1,Cooling System,Overheating,8
DL10COM3252,Tata,Nexon,13,152502,22.1,102.5,1554.0,25.1,82.5,14.2,3.5,30.0,72.7,34.1,3.5,9.2,1,Engine,Low Oil Pressure,10
DL8CPJ1376,Mahindra,Scorpio,13,152502,43.8,100.2,2315.0,63.8,83.1,14.2,20.4,49.4,72.2,33.2,2.4,5.5,1,Sensors,MAF Sensor Failure,6
DL9CBQ1281,Maruti Suzuki,Dzire,12,140528,16.6,100.0,1317.0,53.3,98.4,13.2,10.8,31.6,30.9,33.0,4.0,6.5,0,No Fault,No Fault,0
DL5CMQ7442,Honda,City,4,44736,41.5,113.9,1530.0,66.8,90.5,13.4,13.1,33.0,94.9,32.6,0.6,9.0,1,Cooling System,Overheating,9
DL2COV6949,tata,Harrier,7,80658,37.0,94.4,1959.0,27.4,73.7,14.2,7.1,20.6,35.3,33.4,2.9,11.2,1,Engine,Low Oil Pressure,10
DL6CDX4823,Hyundai,Venue,5,56710,24.3,98.0,1669.1406404588577,52.3,81.8,13.1,10.9,24.2,53.0,31.1,2.2,9.7,1,Fuel System,Fuel Injector Clog,6
DL11CUU3784,Maruti Suzuki,Baleno,3,32762,20.0,92.7,1810.0,45.7,80.7,13.5,5.8,44.2,53.3,31.0,2.9,7.6,0,No Fault,No Fault,0
DL6CYO9412,Hyundai,Creta,5,56710,17.9,104.9,1645.0,48.0,85.2,11.7,8.8,53.9,33.1,33.0,2.7,10.8,1,Electrical System,Charging Failure,6
DL10CNO8872,Hyundai,Creta,6,68684,15.1,99.0,1989.0,30.6,87.7,13.3,10.1,21.7,74.7,31.4,1.0,11.7,0,No Fault,No Fault,0
DL8CUN9820,Hyundai,Creta,8,92632,25.6,102.8,1841.0,18.6,83.2,14.3,14.6,15.7,96.2,34.3,3.4,8.3,1,Engine,Low Oil Pressure,10
DL9CLC7571,Maruti Suzuki,Swift,7,80658,26.3,102.5,910.0,33.9,77.9,13.3,21.0,56.8,95.6,32.4,2.3,11.5,1,Sensors,MAF Sensor Failure,4
DL7CNR1112,Maruti Suzuki,Swift,6,68684,11.2,105.8,2119.0,20.8,72.8,14.0,12.5,36.7,60.4,32.6,3.4,6.6,1,Engine,Low Oil Pressure,10
DL3CTM5954,Maruti Suzuki,Swift,2,20788,44.3,95.1,747.0,60.4,98.6,11.8,11.2,20.6,38.1,31.5,2.8,6.4,1,Electrical System,Charging Failure,7
DL3CJS6609,Hyundai,Creta,6,68684,18.2,93.9,1573.0,59.6,74.5,13.4,4.1,21.5,66.6,28.2,2.0,8.7,1,Tires,Low Tire Pressure,1
DL3CEZ7976,Maruti Suzuki,Dzire,7,80658,10.9,99.5,3498.0,55.0,74.1,14.3,12.3,45.2,30.3,32.3,2.8,6.3,1,Transmission,Transmission Slip,9
DL6CRE3081,Hyundai,Venue,8,92632,40.3,103.2,766.0,49.1,76.1,13.3,6.8,52.0,47.4,32.8,0.6,6.8,0,No Fault,No Fault,0
DL11CZI5028,Maruti Suzuki,Swift,12,140528,14.0,88.3,1986.0,30.5,100.0,11.7,5.5,19.6,80.4,33.1,3.6,10.5,1,Electrical System,Charging Failure,5
DL1CKH5448,Maruti Suzuki,Wagon R,1,8814,44.7,121.0,1212.0,32.2,87.2,14.4,12.8,18.6,63.9,32.4,1.5,11.5,1,Cooling System,Overheating,9
DL8CXA1718,Maruti Suzuki,Wagon R,3,32762,27.6,88.7,1413.0,30.9,83.8,13.1,3.1,41.0,44.7,24.4,4.0,5.3,1,Tires,Low Tire Pressure,1
DL8CNK4620,Maruti Suzuki,Dzire,11,128554,31.6,92.3,2959.0,42.5,71.3,14.2,8.5,47.0,84.2,31.4,3.8,9.8,1,Transmission,Transmission Slip,8
DL2CYE7546,Maruti Suzuki,Swift,3,32762,16.6,96.2,1737.0,24.8,93.5,13.5,14.0,40.7,83.0,31.3,0.8,8.2,1,Engine,Low Oil Pressure,10
DL4CBO6358,Tata,Harrier,14,164476,18.8,97.6,2575.0,42.8,98.0,13.9,14.2,18.1,50.7,32.1,2.6,5.8,1,Transmission,Transmission Slip,9
DL8CLQ9605,Tata,Tiago,13,152502,38.7,91.1,745.7654973269339,44.1,95.2,12.6,11.5,18.0,60.8,31.1,3.9,5.2,1,Fuel System,Fuel Injector Clog,4
DL8CKK2860,Tata,Nexon,5,56710,10.5,101.5,1785.0,27.4,82.7,13.1,10.4,32.1,88.0,32.0,0.6,7.8,1,Engine,Low Oil Pressure,10
DL9CIO7774,Maruti Suzuki,Dzire,13,152502,10.8,105.6,895.0,40.6,92.0,14.0,9.7,26.7,78.3,32.8,2.9,11.1,0,No Fault,No Fault,0
DL11COT3515,Maruti Suzuki,Swift,7,80658,38.9,88.0,1027.603146118136,62.4,85.6,13.6,6.2,17.0,51.8,34.2,2.5,7.0,1,Fuel System,Fuel Injector Clog,6
DL11CER1467,Honda,City,9,104606,22.2,91.0,1524.0,46.1,94.6,12.9,5.9,41.6,12.5,31.3,2.6,9.8,1,Brake System,Worn Brakes,4
DL10CKY9144,Maruti Suzuki,Baleno,12,140528,31.6,102.8,2178.0,46.0,80.8,13.1,18.8,41.4,57.7,31.1,0.9,8.7,1,Sensors,MAF Sensor Failure,4
DL6CPY8847,Mahindra,Scorpio,9,104606,34.0,93.7,2297.0,67.9,98.3,12.7,3.9,31.3,80.4,25.3,1.0,10.6,1,Tires,Low Tire Pressure,3
DL8CVD5235,Hyundai,Venue,13,152502,21.6,93.0,984.0,62.5,92.6,13.0,11.9,48.1,45.3,34.3,3.7,11.5,0,No Fault,No Fault,0
DL2CWZ4831,hyundai,Creta,13,152502,41.3,100.8,897.0,57.1,87.7,12.9,3.2,21.2,11.0,33.6,3.6,7.1,1,Brake System,Worn Brakes,5
DL12CMZ1766,Mahindra,XUV300,4,44736,38.0,98.7,2480.0,32.9,83.9,12.8,7.0,38.3,88.2,34.4,3.5,7.4,0,No Fault,No Fault,0
DL9CTI7039,Maruti Suzuki,Baleno,5,56710,25.4,105.1,728.372392947597,41.3,92.7,13.5,11.7,43.6,58.6,34.2,0.7,10.4,1,Fuel System,Fuel Injector Clog,4
DL4CWT2255,Maruti Suzuki,Dzire,2,20788,35.5,97.4,986.4466775708605,49.6,99.5,13.0,6.8,46.1,65.4,32.8,2.1,10.3,1,Fuel System,Fuel Injector Clog,6
DL7CIQ9071,Mahindra,Scorpio,7,80658,23.4,94.7,1332.0,47.7,87.3,14.2,6.6,23.1,96.8,34.1,3.0,9.8,0,No Fault,No Fault,0
DL4CLY6760,Maruti Suzuki,Baleno,4,44736,20.8,88.8,729.0,54.2,90.1,14.2,10.8,40.4,50.7,23.3,2.6,5.6,1,Tires,Low Tire Pressure,3
DL10CEO4234,Maruti Suzuki,Swift,1,8814,24.8,93.6,2081.0,38.5,74.0,13.4,3.5,21.8,99.6,28.2,1.5,10.3,1,Tires,Low Tire Pressure,2
DL2CKX8213,Hyundai,Venue,2,20788,27.8,92.2,2069.0,39.6,77.0,13.6,11.6,29.6,92.8,32.1,3.9,5.5,0,No Fault,No Fault,0
DL12CHA7056,Hyundai,Venue,2,20788,20.5,109.1,869.0,30.1,95.3,13.1,13.2,53.5,49.7,33.5,0.7,11.2,1,Cooling System,Overheating,9
DL1CVU1069,tata,Tiago,13,152502,39.6,103.7,2041.0,37.3,88.7,13.9,6.2,35.3,24.6,31.5,1.7,6.9,1,Brake System,Worn Brakes,5
DL9CYY5745,Tata,Harrier,11,128554,36.6,107.9,1024.0,54.2,71.3,12.5,4.5,38.0,95.6,32.9,0.6,10.3,1,Cooling System,Overheating,9
DL7CVA1712,maruti suzuki,Wagon R,2,20788,43.4,102.3,1254.0,33.2,,14.2,,42.2,41.5,33.4,1.4,8.3,1,Sensors,MAF Sensor Failure,4
DL4CXH6514,Tata,Nexon,9,104606,29.1,88.2,2152.0,37.8,82.9,13.7,8.4,44.9,87.6,34.9,1.9,11.8,0,No Fault,No Fault,0
DL9CXW9259,hyundai,Venue,14,164476,32.2,92.7,1942.0,39.9,83.8,13.0,3.6,30.6,6.7,34.8,1.6,7.9,1,Brake System,Worn Brakes,3
DL1CPW9601,Honda,City,1,8814,19.1,114.1,1687.0,60.5,93.4,13.9,13.9,52.2,98.0,34.3,3.0,7.2,1,Cooling System,Overheating,9
DL1CKJ1456,Maruti Suzuki,Dzire,3,32762,28.8,95.7,1310.0,56.0,98.8,14.5,11.0,25.4,16.0,33.3,3.5,8.2,1,Brake System,Worn Brakes,3
DL9CBS2054,Mahindra,Thar,4,44736,31.6,95.6,967.0,60.3,88.1,13.1,10.3,55.3,85.8,27.3,3.2,6.7,1,Tires,Low Tire Pressure,3
DL10CLE7151,Hyundai,Creta,11,128554,22.3,93.2,2210.0,54.7,83.4,12.7,9.6,24.8,64.3,27.0,0.5,10.8,1,Tires,Low Tire Pressure,2
DL7CHS6949,Maruti Suzuki,Swift,13,152502,39.5,98.7,2334.0,41.6,81.0,13.2,10.6,58.2,73.5,24.1,3.2,6.1,1,Tires,Low Tire Pressure,3
DL2CDZ8280,Maruti Suzuki,Wagon R,13,152502,32.6,97.1,2297.0,37.6,79.4,11.8,7.4,35.8,34.5,34.9,2.7,8.9,1,Electrical System,Charging Failure,5
DL8CKJ5779,Tata,Nexon,8,92632,36.1,88.1,1073.0,65.1,79.9,13.5,4.1,17.7,37.1,32.5,2.4,5.0,0,No Fault,No Fault,0
DL9CKG1099,Honda,Amaze,4,44736,31.0,98.8,1983.0,56.7,91.3,13.1,11.0,50.6,94.2,34.3,2.6,8.6,0,No Fault,No Fault,0
DL9CQR7159,Maruti Suzuki,Baleno,10,116580,13.0,97.3,1567.5220307598959,38.8,97.4,14.1,5.0,23.5,83.7,32.6,3.1,9.3,1,Fuel System,Fuel Injector Clog,5
DL11CTK8850,Hyundai,Venue,10,116580,27.7,113.1,2241.0,47.3,82.3,14.3,5.3,19.5,48.7,32.7,2.4,5.1,1,Cooling System,Overheating,9
DL4CMR7870,Hyundai,Creta,6,68684,30.5,101.1,1866.466193867494,28.4,90.5,12.6,10.2,33.6,57.8,34.7,0.6,10.3,1,Fuel System,Fuel Injector Clog,4
DL6CLX9803,Hyundai,Venue,6,68684,20.5,100.0,1648.0,53.8,99.5,14.2,10.7,38.3,9.4,32.8,2.9,8.4,1,Brake System,Worn Brakes,5
DL11CPX5883,Maruti Suzuki,Baleno,3,32762,27.3,92.6,2301.0,49.1,76.8,13.9,11.8,17.7,91.1,31.1,3.0,7.2,0,No Fault,No Fault,0
DL1CXD4764,Tata,Nexon,1,8814,11.3,89.4,1534.0,66.6,71.5,14.3,14.1,28.4,84.2,32.5,0.7,5.3,0,No Fault,No Fault,0
DL7CPB9359,Mahindra,Scorpio,5,56710,13.0,101.2,2055.0,44.2,94.6,13.6,18.8,45.3,73.3,31.3,1.1,8.1,1,Sensors,MAF Sensor Failure,5
DL9CSX3393,Tata,Nexon,1,8814,13.4,98.3,911.0,41.3,79.5,13.6,13.6,50.5,60.2,34.9,2.0,11.0,0,No Fault,No Fault,0
DL1CMU3394,maruti suzuki,Wagon R,13,152502,24.0,92.5,1838.0,52.4,,14.5,,19.9,68.9,31.3,2.5,6.4,1,Sensors,MAF Sensor Failure,6
DL6CPX4974,Maruti Suzuki,Swift,6,68684,25.5,89.4,2427.0,57.4,74.7,14.4,20.2,36.2,89.1,34.2,2.2,8.0,1,Sensors,MAF Sensor Failure,5
DL3CXR7612,Maruti Suzuki,Dzire,13,152502,10.7,106.0,1484.6480950521193,32.5,92.0,14.3,7.6,33.1,33.8,33.1,0.6,5.1,1,Fuel System,Fuel Injector Clog,5
DL6CSA6279,maruti suzuki,Wagon R,6,68684,41.0,101.6,1631.0,48.3,96.5,13.9,13.2,29.8,54.9,31.5,2.0,7.8,0,No Fault,No Fault,0
DL3CCW3144,Honda,Amaze,6,68684,22.8,100.4,1400.0,59.0,87.5,13.9,21.5,48.4,41.8,34.9,3.2,7.8,1,Sensors,MAF Sensor Failure,6
DL7CWO7439,Maruti Suzuki,Dzire,3,32762,24.2,95.9,1382.0,36.2,86.5,12.1,13.5,59.6,82.5,33.1,1.5,6.4,1,Electrical System,Charging Failure,6
DL6CDD3892,Maruti Suzuki,Wagon R,8,92632,38.3,99.8,1137.0,37.4,74.1,13.3,13.5,36.6,50.9,33.3,1.2,8.2,0,No Fault,No Fault,0
DL4CPC3838,tata,Harrier,12,140528,29.0,103.1,2429.0,55.4,,11.8,,55.2,63.8,34.2,1.6,8.2,1,Electrical System,Charging Failure,5
DL10COH9761,Hyundai,Venue,13,152502,23.3,90.4,1831.3238031697874,29.1,81.9,12.6,3.4,15.2,76.0,33.3,3.2,7.5,1,Fuel System,Fuel Injector Clog,6
DL1CVE3918,Hyundai,Venue,13,152502,17.1,88.4,1971.0,41.2,79.4,14.4,8.7,48.3,13.5,31.1,2.2,7.2,1,Brake System,Worn Brakes,4
DL1CTK5157,Maruti Suzuki,Swift,3,32762,43.5,102.1,1137.6088895667326,28.8,74.6,14.1,8.2,48.8,32.9,32.8,1.1,6.5,1,Fuel System,Fuel Injector Clog,4
DL8CTX7285,Maruti Suzuki,Wagon R,5,56710,26.6,121.8,1974.0,55.7,70.2,13.3,3.9,31.3,81.1,31.9,2.6,5.5,1,Cooling System,Overheating,8
DL4CNM3830,Hyundai,Creta,5,56710,39.5,95.1,1020.0,55.5,93.5,11.8,14.6,41.5,40.6,32.6,0.7,6.0,1,Electrical System,Charging Failure,7
DL1CZW2984,Tata,Harrier,10,116580,13.2,98.5,1073.0334603761125,49.9,93.5,14.3,7.1,21.5,47.2,32.3,2.7,5.6,1,Fuel System,Fuel Injector Clog,6
DL12CYV4490,Tata,Harrier,4,44736,23.8,94.7,1195.8928964714867,32.4,88.6,13.5,3.7,49.9,67.1,31.4,3.6,5.8,1,Fuel System,Fuel Injector Clog,4
DL3CPA3075,Maruti Suzuki,Wagon R,12,140528,28.2,90.2,2181.0,54.0,90.0,13.1,8.7,39.7,36.4,31.7,1.6,10.6,0,No Fault,No Fault,0
DL2CIN9114,Maruti Suzuki,Baleno,8,92632,38.9,115.4,1106.0,65.6,91.0,13.3,7.8,31.2,84.3,33.6,3.1,9.9,1,Cooling System,Overheating,9
DL8CMV3113,Hyundai,Creta,8,92632,12.1,99.1,1767.0,31.8,73.6,12.8,20.7,33.4,44.2,34.8,2.8,5.1,1,Sensors,MAF Sensor Failure,6
DL7CVZ5835,Maruti Suzuki,Swift,4,44736,10.9,105.6,1106.0,55.0,93.4,13.2,5.8,18.0,43.9,22.2,1.9,6.0,1,Tires,Low Tire Pressure,1
DL12CZC2226,Maruti Suzuki,Dzire,13,152502,35.3,114.1,1829.0,37.3,72.8,12.6,15.0,49.8,59.5,31.7,3.5,6.2,1,Cooling System,Overheating,8
DL10CZF3510,Maruti Suzuki,Wagon R,6,68684,29.4,119.8,2079.0,60.4,93.2,12.5,5.4,52.6,31.8,34.0,3.0,5.8,1,Cooling System,Overheating,8
DL6CHN9797,Honda,City,13,152502,32.2,92.2,1081.0997798961846,64.5,74.2,13.9,7.0,59.2,53.0,32.4,0.7,5.2,1,Fuel System,Fuel Injector Clog,6
DL11CSJ5612,Maruti Suzuki,Baleno,2,20788,17.4,88.2,3413.0,42.2,82.7,14.4,14.0,52.4,74.0,32.5,1.4,8.5,1,Transmission,Transmission Slip,10
DL5CSJ9966,Hyundai,i10,3,32762,15.6,92.6,799.0,57.3,92.1,12.4,18.3,16.8,47.6,34.1,1.7,9.4,1,Sensors,MAF Sensor Failure,4
DL4CGR5559,Mahindra,XUV300,12,140528,34.2,94.6,1762.0,38.4,82.6,14.4,17.4,31.8,89.3,31.1,0.6,7.4,1,Sensors,MAF Sensor Failure,6
DL6CNP6877,Hyundai,Venue,8,92632,29.4,95.3,2198.0,62.3,75.7,14.4,6.5,59.4,57.8,31.4,0.7,10.8,0,No Fault,No Fault,0
DL12CRV1899,hyundai,i10,7,80658,22.5,91.7,1627.0,35.0,,12.6,,25.9,93.3,32.4,2.9,8.4,0,No Fault,No Fault,0
DL12COB3849,Hyundai,Venue,8,92632,34.8,95.1,1005.0,55.1,93.7,14.4,13.0,43.9,81.6,32.1,3.4,6.1,0,No Fault,No Fault,0
DL10CQV1048,Hyundai,Creta,14,164476,33.5,98.2,2031.0,60.1,91.1,11.7,14.5,54.0,95.1,33.1,3.0,7.3,1,Electrical System,Charging Failure,6
DL2CSW4206,Maruti Suzuki,Dzire,1,8814,33.9,91.0,1309.0,34.5,76.2,14.5,5.5,28.1,75.2,31.5,2.2,9.9,0,No Fault,No Fault,0
DL9CIR6126,mahindra,Thar,7,80658,41.9,99.3,2786.0,39.5,,13.3,,32.6,95.1,33.6,0.9,10.8,1,Transmission,Transmission Slip,10
DL8CJD6699,Tata,Tiago,10,116580,41.3,94.4,2135.0,37.8,72.0,14.1,7.4,44.0,30.9,32.7,0.7,7.4,1,Transmission,Transmission Slip,9
DL8CDE4647,maruti suzuki,Baleno,12,140528,23.3,105.7,1595.0,54.6,,14.3,,17.9,34.5,34.8,2.4,9.1,0,No Fault,No Fault,0
DL8CVJ5758,Hyundai,Creta,11,128554,34.8,92.5,2118.6615948158487,38.2,75.6,14.1,11.1,42.1,84.9,32.5,3.1,10.6,1,Fuel System,Fuel Injector Clog,6
DL10CDH6939,Hyundai,i10,9,104606,41.0,95.0,1707.0,57.4,83.8,13.9,12.4,35.1,12.1,33.5,1.2,10.2,1,Brake System,Worn Brakes,3
DL9CGG7239,Hyundai,Creta,5,56710,24.0,101.5,716.0,44.5,94.3,12.7,7.5,58.2,61.3,26.1,2.1,6.5,1,Tires,Low Tire Pressure,3
DL5CBF1458,Maruti Suzuki,Dzire,11,128554,41.4,91.1,1094.0405178445096,57.4,82.5,14.0,9.0,59.3,95.4,32.7,1.7,10.3,1,Fuel System,Fuel Injector Clog,5
DL9CDA6630,Mahindra,Thar,5,56710,27.9,101.7,2026.0,49.0,82.2,13.0,13.9,23.2,22.1,34.1,3.3,10.6,1,Brake System,Worn Brakes,4
DL12CYB6699,Mahindra,Thar,12,140528,26.7,104.5,3042.0,67.3,99.8,14.1,8.7,15.6,64.8,32.5,1.2,7.8,1,Transmission,Transmission Slip,10
DL6CAJ2385,Maruti Suzuki,Baleno,12,140528,40.9,95.7,1599.0,56.0,86.1,12.2,8.6,39.8,53.4,33.0,0.7,6.9,1,Electrical System,Charging Failure,6
DL5CBG3982,Maruti Suzuki,Dzire,12,140528,18.9,101.2,748.0,59.2,92.3,12.8,18.5,41.4,68.1,34.5,3.7,11.0,1,Sensors,MAF Sensor Failure,4
DL6CTY7827,Maruti Suzuki,Baleno,13,152502,24.5,98.2,3182.0,36.8,95.1,14.4,9.5,21.2,90.7,33.3,0.6,6.9,1,Transmission,Transmission Slip,9
DL2CPA9266,Tata,Nexon,6,68684,36.2,90.1,1413.0,44.3,94.0,13.7,5.1,22.7,49.3,34.3,2.8,5.7,0,No Fault,No Fault,0
DL11CWT5604,Maruti Suzuki,Baleno,5,56710,42.1,102.0,2479.0,34.7,95.9,13.2,5.6,58.0,44.6,26.1,2.5,11.2,1,Tires,Low Tire Pressure,1
DL1CMX9327,Honda,City,8,92632,38.9,90.0,1611.0,66.4,93.9,13.6,5.9,58.8,51.7,28.2,3.6,7.0,1,Tires,Low Tire Pressure,1
DL2CXS6085,Maruti Suzuki,Swift,11,128554,38.8,89.7,1584.0,21.6,78.6,13.2,5.6,30.1,63.0,32.7,2.0,7.9,1,Engine,Low Oil Pressure,10
DL3CWM7320,Tata,Tiago,8,92632,25.1,104.2,1036.0,64.2,70.1,11.8,11.2,38.2,66.6,32.6,3.8,11.7,1,Electrical System,Charging Failure,5
DL8CBC7075,Hyundai,Venue,7,80658,22.8,90.0,1411.0,32.4,73.7,14.3,12.2,34.4,46.4,34.4,3.7,6.4,0,No Fault,No Fault,0
DL7CKE5014,Maruti Suzuki,Baleno,13,152502,28.7,98.2,1984.0,65.9,92.9,13.4,14.3,40.2,13.2,32.7,2.2,10.3,1,Brake System,Worn Brakes,5
